TXNAME,GENEID
lcl|CP064677.1_cds_QPD34967.1_2340,sixA
lcl|CP064677.1_cds_QPD34968.1_2341,fadJ
lcl|CP064677.1_cds_QPD34969.1_2342,fadI
lcl|CP064677.1_cds_QPD34970.1_2343,IVL04_11955
lcl|CP064677.1_cds_QPD34971.1_2344,fadL
lcl|CP064677.1_cds_QPD34972.1_2345,IVL04_11965
lcl|CP064677.1_cds_QPD34973.1_2346,mlaA
lcl|CP064677.1_cds_QPD34974.1_2347,IVL04_11975
lcl|CP064677.1_cds_QPD34975.1_2349,IVL04_11990
lcl|CP064677.1_cds_QPD34976.1_2350,IVL04_11995
lcl|CP064677.1_cds_QPD34977.1_2351,IVL04_12000
lcl|CP064677.1_cds_QPD34978.1_2352,IVL04_12005
lcl|CP064677.1_cds_QPD34979.1_2354,IVL04_12015
lcl|CP064677.1_cds_QPD34980.1_2356,IVL04_12025
lcl|CP064677.1_cds_QPD34981.1_2357,IVL04_12030
lcl|CP064677.1_cds_QPD34982.1_2359,IVL04_12040
lcl|CP064677.1_cds_QPD34983.1_2360,IVL04_12045
lcl|CP064677.1_cds_QPD34984.1_2361,yfdR
lcl|CP064677.1_cds_QPD34985.1_2362,IVL04_12055
lcl|CP064677.1_cds_QPD34986.1_2363,IVL04_12060
lcl|CP064677.1_cds_QPD34987.1_2364,torI
lcl|CP064677.1_cds_QPD34988.1_2365,dsdC
lcl|CP064677.1_cds_QPD34989.1_2366,dsdX
lcl|CP064677.1_cds_QPD34990.1_2367,dsdA
lcl|CP064677.1_cds_QPD34991.1_2368,emrY
lcl|CP064677.1_cds_QPD34992.1_2369,emrK
lcl|CP064677.1_cds_QPD34993.1_2370,evgA
lcl|CP064677.1_cds_QPD34994.1_2371,evgS
lcl|CP064677.1_cds_QPD34995.1_2372,yfdE
lcl|CP064677.1_cds_QPD34996.1_2373,yfdV
lcl|CP064677.1_cds_QPD34997.1_2374,oxc
lcl|CP064677.1_cds_QPD34998.1_2375,frc
lcl|CP064677.1_cds_QPD34999.1_2376,IVL04_12125
lcl|CP064677.1_cds_QPD35000.1_2377,ypdI
lcl|CP064677.1_cds_QPD35001.1_2378,IVL04_12135
lcl|CP064677.1_cds_QPD35002.1_2379,lpxP
lcl|CP064677.1_cds_QPD35003.1_2381,alaC
lcl|CP064677.1_cds_QPD35004.1_2382,ypdA
